# KSociety — Member Import Template
# ─────────────────────────────────────────────────────────────────
# INSTRUCTIONS:
#   1. Keep the header row (line starting with "name,").
#   2. Add one member per row below the header.
#   3. Delete comment lines (lines starting with #) before importing,
#      OR leave them — the importer will skip them automatically.
#   4. All currency amounts are in whole rupees (no decimals).
#   5. join_date format: "Mon YYYY"  e.g.  Jan 2025  or  Mar 2024
#      Leave blank to default to the current month.
#
# COLUMNS:
#   name         (required) Full member name
#   phone        (optional) 10-digit mobile number
#   contribution (optional) Monthly contribution amount in ₹  (default 0)
#   amt_borrowed (optional) Loan outstanding in ₹             (default 0)
#   fees         (optional) Monthly member fee in ₹           (default 0)
#   join_date    (optional) Month the member joined            (default current month)
# ─────────────────────────────────────────────────────────────────
name,phone,contribution,amt_borrowed,fees,join_date
Ravi Kumar,9876543210,2000,10000,500,Jan 2025
Sunita Devi,9123456789,2000,8000,500,Jan 2025
Mohan Rao,9000012345,2000,0,500,Jan 2025
Priya Sharma,9111122233,2000,15000,500,Jan 2025
Ajay Singh,9988776655,2000,5000,500,Feb 2025
Kavitha N.,,2000,0,500,Feb 2025
Deepak M.,9812345678,3000,12000,750,Jan 2025
Lakshmi P.,9701234567,3000,0,750,Jan 2025
